 ,Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
1,(ID170269 : ID170619),0,170269,170619,10.309,0.026,253.688,242.909,0,61.744,3.211,None
2,(ID170619 : ID170407),0,170619,170407,4.263,0.078,251.250,242.783,0,39.708,2.065,None
3,(ID170407 : ID170479),0,170407,170479,1.040,0.130,250.726,242.919,0,19.614,1.020,None
4,(ID170479 : ID170548),0,170479,170548,1.987,0.182,250.981,241.930,0,27.110,1.410,None
5,(ID170548 : ID170754),0,170548,170754,2.067,0.234,250.183,241.567,0,27.649,1.438,None
6,(ID170754 : ID170328),0,170754,170328,0.591,0.286,249.425,241.525,0,14.789,0.769,None
7,(ID170328 : ID170689),0,170328,170689,1.565,0.338,248.844,241.579,0,24.057,1.251,None
8,(ID170689 : ID170824),0,170689,170824,1.334,0.390,247.864,241.741,0,22.211,1.155,None
9,(ID170824 : ID170898),0,170824,170898,0.055,0.442,247.231,241.483,0,4.508,0.234,None
10,(ID170898 : ID171033),0,170898,171033,10.060,0.494,245.694,240.778,0,60.994,3.172,None
11,(ID171033 : ID171103),0,171033,171103,2.083,0.546,243.961,240.723,0,27.755,1.443,None
12,(ID171103 : ID171171),0,171103,171171,2.682,0.598,244.021,240.643,0,31.496,1.638,None
13,(ID171171 : ID170966),0,171171,170966,9.051,0.650,244.646,238.431,0,57.855,3.008,None
14,(ID170966 : ID171239),0,170966,171239,0.717,0.702,244.511,236.780,0,16.284,0.847,None
15,(ID171239 : ID171310),0,171239,171310,2.769,0.754,243.393,236.211,0,31.999,1.664,None
16,(ID171310 : ID171376),0,171310,171376,8.209,0.806,242.445,237.226,0,55.099,2.865,None
17,(ID171376 : ID171654),0,171376,171654,10.079,0.858,240.639,238.688,0,61.051,3.175,None
18,(ID171654 : ID171518),0,171654,171518,2.091,0.910,238.452,239.137,0,27.805,1.446,None
19,(ID171518 : ID171446),0,171518,171446,5.098,0.962,237.206,240.466,0,43.419,2.258,None
20,(ID171446 : ID171789),0,171446,171789,9.685,1.014,235.318,242.328,0,59.848,3.112,None
21,(ID171789 : ID171856),0,171789,171856,0.530,1.066,233.852,243.551,0,13.998,0.728,None
22,(ID171856 : ID171587),0,171856,171587,0.063,1.118,233.728,243.762,0,4.822,0.251,None
23,(ID171587 : ID171722),0,171587,171722,0.133,1.170,233.645,243.694,0,7.024,0.365,None
24,(ID171722 : ID171921),0,171722,171921,0.022,1.222,233.498,243.768,0,2.841,0.148,None
25,(ID171921 : ID171987),0,171921,171987,1.191,1.274,233.968,244.162,0,20.991,1.092,None
26,(ID171987 : ID172128),0,171987,172128,1.600,1.326,234.755,243.967,0,24.323,1.265,None
27,(ID172128 : ID172396),0,172128,172396,13.741,1.378,234.582,241.665,0,71.287,3.707,None
28,(ID172396 : ID172059),0,172396,172059,1.865,1.430,234.472,239.346,0,26.264,1.366,None
29,(ID172059 : ID172324),0,172059,172324,5.254,1.482,236.025,238.946,0,44.079,2.292,None
